Distance [mm],Bx,By
53.8,-0.001096383,0.000650746
53.9,-0.001084311,0.000644842
54,-0.001071734,0.000639663
54.1,-0.001058801,0.000635207
54.2,-0.001045869,0.000630751
54.3,-0.001032936,0.000626295
54.4,-0.001020649,0.000621445
54.5,-0.001010252,0.000617167
54.6,-0.000999885,0.000612959
54.7,-0.000989518,0.000608751
54.8,-0.000979152,0.000604543
54.9,-0.000969295,0.000601153
55,-0.00095907,0.00059584
55.1,-0.000949183,0.00059075
55.2,-0.000939296,0.00058566
55.3,-0.000929408,0.000580571
55.4,-0.000919912,0.000577724
55.5,-0.000910688,0.000574997
55.6,-0.000901866,0.000570731
55.7,-0.000893045,0.000566465
55.8,-0.000884223,0.000562199
55.9,-0.000875402,0.000557932
56,-0.000866358,0.000553693
56.1,-0.00085659,0.000549778
56.2,-0.000846483,0.000546157
56.3,-0.000836376,0.000542536
56.4,-0.000826786,0.000538728
56.5,-0.00081969,0.000534017
56.6,-0.000812594,0.000529307
56.7,-0.000805482,0.000524656
56.8,-0.000798351,0.000520074
56.9,-0.000790606,0.000516983
57,-0.00078254,0.000514669
57.1,-0.000774473,0.000512356
57.2,-0.000765545,0.000508933
57.3,-0.000756293,0.000505061
57.4,-0.000747239,0.000501327
57.5,-0.000738522,0.000497652
57.6,-0.000730989,0.000494188
57.7,-0.000723456,0.000490723
57.8,-0.000715923,0.000487259
57.9,-0.00070839,0.000483794
58,-0.000701131,0.000480783
58.1,-0.000694569,0.000478253
58.2,-0.000688141,0.000475803
58.3,-0.000681714,0.000473352
58.4,-0.000675286,0.000470901
58.5,-0.000668901,0.000468423
58.6,-0.000662049,0.00046471
58.7,-0.000654976,0.000461518
58.8,-0.000647903,0.000458327
58.9,-0.000640831,0.000455135
59,-0.000633064,0.00045152
59.1,-0.00062511,0.000447859
59.2,-0.0006176,0.000445258
59.3,-0.000611761,0.000441913
59.4,-0.000606275,0.00043841
59.5,-0.000600924,0.000435325
59.6,-0.000595609,0.000432429
59.7,-0.00058976,0.000430262
59.8,-0.000583911,0.000428096
59.9,-0.000578063,0.000425929
60,-0.000572214,0.000423763
60.1,-0.000566337,0.000421105
60.2,-0.00056046,0.000418332
60.3,-0.000554582,0.000415559
60.4,-0.000548704,0.000412786
60.5,-0.000542826,0.000410014
60.6,-0.000537112,0.000407357
60.7,-0.00053196,0.000405099
60.8,-0.000526807,0.000402842
60.9,-0.000521655,0.000400584
61,-0.000516503,0.000398326
61.1,-0.000511351,0.000396068
61.2,-0.000506405,0.000393689
61.3,-0.0005014,0.000391365
61.4,-0.000496019,0.000389298
61.5,-0.000490637,0.000387231
61.6,-0.000485249,0.000385149
61.7,-0.000480177,0.000383116
61.8,-0.000475937,0.000380953
61.9,-0.000471674,0.000378709
62,-0.000467411,0.000376466
62.1,-0.000463147,0.000374222
62.2,-0.000458832,0.000371872
62.3,-0.000454483,0.000369454
62.4,-0.000450134,0.000367037
62.5,-0.000445636,0.000364667
62.6,-0.000440319,0.000362563
62.7,-0.000435002,0.000360459
62.8,-0.000430353,0.000358424
62.9,-0.000426031,0.000356425
63,-0.000421709,0.000354425
63.1,-0.000417387,0.000352425
63.2,-0.000413125,0.00035047
63.3,-0.000409098,0.000348378
63.4,-0.000405033,0.000346312
63.5,-0.000400967,0.000344245
63.6,-0.00039693,0.000342172
63.7,-0.000393369,0.00033999
63.8,-0.000389508,0.000337962
63.9,-0.000385136,0.000336198
64,-0.000380764,0.000334434
64.1,-0.000376842,0.000332907
64.2,-0.000373083,0.000331465
64.3,-0.000369325,0.000330024
64.4,-0.000365614,0.000328575
64.5,-0.000362081,0.00032716
64.6,-0.000358522,0.00032574
64.7,-0.000354987,0.000324247
64.8,-0.000351452,0.000322754
64.9,-0.000347918,0.000321262
65,-0.000344072,0.000319565
65.1,-0.000340953,0.000317537
65.2,-0.000338026,0.00031566
65.3,-0.000335098,0.000313784
65.4,-0.000332171,0.000311907
65.5,-0.000329243,0.00031003
65.6,-0.000326296,0.000308121
65.7,-0.000323298,0.000306126
65.8,-0.000319836,0.000304877
65.9,-0.000316139,0.000303568
66,-0.000312442,0.000302258
66.1,-0.000309019,0.000300692
66.2,-0.000305815,0.000298919
66.3,-0.00030263,0.000297055
66.4,-0.000299451,0.00029516
66.5,-0.000296635,0.000293687
66.6,-0.000294115,0.00029256
66.7,-0.000291596,0.000291433
66.8,-0.000289077,0.000290307
66.9,-0.000286557,0.00028918
67,-0.00028401,0.000288073
67.1,-0.000281156,0.000286406
67.2,-0.000278031,0.000284814
67.3,-0.000274905,0.000283223
67.4,-0.00027178,0.000281631
67.5,-0.000268968,0.000280237
67.6,-0.00026635,0.000278963
67.7,-0.000263819,0.000277601
67.8,-0.000261416,0.000276134
67.9,-0.000259062,0.000274706
68,-0.000256708,0.000273278
68.1,-0.000254355,0.000271849
68.2,-0.00025181,0.000270553
68.3,-0.000249259,0.000269261
68.4,-0.000246799,0.000267978
68.5,-0.000244451,0.000266706
68.6,-0.000242097,0.000265466
68.7,-0.000239729,0.000264304
68.8,-0.00023746,0.000263239
68.9,-0.000235216,0.000262198
69,-0.000232971,0.000261156
69.1,-0.000230727,0.000260115
69.2,-0.000228439,0.000258704
69.3,-0.000226151,0.00025729
69.4,-0.000223905,0.000255994
69.5,-0.000221727,0.000254889
69.6,-0.000219718,0.000253716
69.7,-0.00021779,0.000252509
69.8,-0.000215862,0.000251302
69.9,-0.000214028,0.000250271
70,-0.000212231,0.000249312
70.1,-0.000210398,0.000248299
70.2,-0.000208565,0.000247286
70.3,-0.000206675,0.000246232
70.4,-0.000204611,0.000245053
70.5,-0.000202444,0.000244059
